ID_venta,fecha,ID_cliente,ID_producto,cantidad,precio_unitario,total
1,2023-01-01,179,20,2,443.87,887.74
2,2023-01-02,446,9,6,405.61,2433.66
3,2023-01-03,322,12,3,64.18,192.54000000000002
4,2023-01-04,227,22,9,299.81,2698.29
5,2023-01-05,168,10,2,195.03,390.06
6,2023-01-06,284,39,3,182.82,548.46
7,2023-01-07,311,29,9,458.18,4123.62
8,2023-01-08,489,48,9,66.11,594.99
9,2023-01-09,75,11,1,58.73,58.73
10,2023-01-10,125,23,9,190.34,1713.06
11,2023-01-11,451,36,3,98.82,296.46
12,2023-01-12,494,25,3,165.34,496.02
13,2023-01-13,108,9,4,405.61,1622.44
14,2023-01-14,109,25,9,165.34,1488.06
15,2023-01-15,217,45,8,114.61,916.88
16,2023-01-16,269,29,7,458.18,3207.26
17,2023-01-17,178,33,2,338.95,677.9
18,2023-01-18,19,27,9,418.06,3762.54
19,2023-01-19,431,9,5,405.61,2028.0500000000002
20,2023-01-20,169,27,8,418.06,3344.48
21,2023-01-21,13,38,9,316.05,2844.4500000000003
22,2023-01-22,377,27,3,418.06,1254.18
23,2023-01-23,390,14,7,7.01,49.07
24,2023-01-24,116,46,5,52.46,262.3
25,2023-01-25,159,50,6,28.79,172.74
26,2023-01-26,3,15,3,321.97,965.9100000000001
27,2023-01-27,378,28,5,164.65,823.25
28,2023-01-28,376,15,9,321.97,2897.7300000000005
29,2023-01-29,347,2,8,202.66,1621.28
30,2023-01-30,397,23,5,190.34,951.7
31,2023-01-31,336,17,1,223.77,223.77
32,2023-02-01,134,13,1,402.07,402.07
33,2023-02-02,361,13,4,402.07,1608.28
34,2023-02-03,160,10,3,195.03,585.09
35,2023-02-04,41,50,7,28.79,201.53
36,2023-02-05,381,35,4,148.02,592.08
37,2023-02-06,245,8,3,427.54,1282.6200000000001
38,2023-02-07,81,21,7,293.67,2055.69
39,2023-02-08,87,46,6,52.46,314.76
40,2023-02-09,41,7,3,57.21,171.63
41,2023-02-10,272,22,1,299.81,299.81
42,2023-02-11,90,48,1,66.11,66.11
43,2023-02-12,377,30,9,348.83,3139.47
44,2023-02-13,63,9,2,405.61,811.22
45,2023-02-14,58,29,8,458.18,3665.44
46,2023-02-15,76,9,6,405.61,2433.66
47,2023-02-16,180,43,4,464.59,1858.36
48,2023-02-17,426,3,2,304.61,609.22
49,2023-02-18,249,37,7,201.63,1411.4099999999999
50,2023-02-19,41,43,1,464.59,464.59
51,2023-02-20,285,21,8,293.67,2349.36
52,2023-02-21,121,27,3,418.06,1254.18
53,2023-02-22,119,9,7,405.61,2839.27
54,2023-02-23,380,9,1,405.61,405.61
55,2023-02-24,198,12,8,64.18,513.44
56,2023-02-25,202,4,4,419.48,1677.92
57,2023-02-26,96,45,9,114.61,1031.49
58,2023-02-27,480,21,1,293.67,293.67
59,2023-02-28,476,25,4,165.34,661.36
60,2023-03-01,72,14,2,7.01,14.02
61,2023-03-02,71,49,5,34.81,174.05
62,2023-03-03,461,14,8,7.01,56.08
63,2023-03-04,145,20,2,443.87,887.74
64,2023-03-05,419,15,8,321.97,2575.76
65,2023-03-06,421,27,1,418.06,418.06
66,2023-03-07,259,40,9,242.68,2184.12
67,2023-03-08,459,17,7,223.77,1566.39
68,2023-03-09,249,26,6,314.52,1887.12
69,2023-03-10,423,44,2,373.28,746.56
70,2023-03-11,229,38,2,316.05,632.1
